page_number,text,source
1,"No. 23-980 In the Supreme Court of the United States FACEBOOK, INC., ET AL., PETITIONERS v. AMALGAMATED BANK, ET AL. ON WRIT OF CERTIORARI TO THE UNITED STATES COURT OF APPEALS FOR THE NINTH CIRCUIT BRIEF FOR THE PETITIONERS JOSHUA S. LIPSHUTZ KATHERINE MORAN MEEKS TRENTON VAN OSS GIBSON, DUNN & CRUTCHER LLP 1050 Connecticut Avenue, N.W. Washington, DC 20036 BRIAN M. LUTZ MICHAEL J. KAHN PATRICK J. FUSTER GIBSON, DUNN & CRUTCHER LLP One Embarcadero Center, Suite 2600 San Francisco, CA 94111 KANNON K. SHANMUGAM Counsel of Record WILLIAM T. MARKS MATTEO GODI JAKE L. KRAMER ANNA P. LIPIN PAUL, WEISS, RIFKIND, WHARTON & GARRISON LLP 2001 K Street, N.W. Washington, DC 20006 (202) 223-7300 kshanmugam@paulweiss.com AUDRA J. SOLOWAY KRISTINA A. BUNTING PAUL, WEISS, RIFKIND, WHARTON & GARRISON LLP 1285 Avenue of the Americas New York, NY 10019",20240809133545974_23-980_petbrief.pdf
2,"(I) QUESTION PRESENTED Whether a risk disclosure in the Risk Factors sec- tion of an SEC Form 10-K filing, as required by Item 105 of SEC Regulation S-K, is false or misleading when it does not disclose that the warned -of risk has materialized in the past, even if the past event presents no known risk of ongoing or future business harm.",20240809133545974_23-980_petbrief.pdf
3,"(II) PARTIES TO THE PROCEEDING AND CORPORATE DISCLOSURE STATEMENT Petitioners are Facebook, Inc. , now known as Meta Platforms, Inc.; Mark Zuckerberg; Sheryl Sandberg; and David M. Wehner. Meta Platforms, Inc., has no parent corporation, and no publicly held company holds 10% or more of its stock. Respondents are Amalgamated Bank; Public Employ- ees Retirement System of Mississippi; and James Kacou- ris.",20240809133545974_23-980_petbrief.pdf
4,(III) TABLE OF CONTENTS Page Opinions below .............................................................................. 1 Jurisdiction .................................................................................... 1 Statutory and regulatory provisions involved ........................... 2 Statement ...................................................................................... 2 A. Background ...................................................................... 4 B. Facts and procedural history ......................................... 7 Summary of argument ............................................................... 14 Argument ..................................................................................... 18 Risk disclosures under Item 105 of Regulation S-K are not misleading merely because they do not disclose previous occurrences of the specified triggering event or the present risk of harm from such occurrences ......................................................... 18 A. Risk disclosures under Item 105 make no implied representations about a companys past experiences ............................................................. 19 B. A reasonable investor would not find the risk disclosures at issue here misleading ............................ 26 C. The Ninth Circuits approach is erroneous ................. 29 1. The Ninth Circuits approach ignores the actual statements made in the securities filing .... 29 2. The Ninth Circuits approach would incentivize overdisclosure in securities filings ..... 32 3. The Ninth Circuits approach would encourage abusive fraud-by-hindsight lawsuits ..................... 35 D. Petitioners would prevail even under the mistaken view that a risk disclosure can be misleading when the company knows that the warned-of risk is almost certain to materialize .......... 39 Conclusion ................................................................................... 43 Appendix  Statutory and regulatory provisions .................. 1a,20240809133545974_23-980_petbrief.pdf
5,"IV TABLE OF AUTHORITIES Page Cases: Basic, Inc. v. Levinson, 485 U.S. 224 (1988) ..................... 34 Bondali v. Yum! Brands, Inc., 620 Fed. Appx. 483 (6th Cir. 2015) .......................... 22, 40 Burlington Coat Factory Securities Litigation, In re, 114 F.3d 1410 (3d Cir. 1997) ................................ 21 Corner Post, Inc. v. Board of Governors of Federal Reserve System, 144 S. Ct. 2440 (2024) ........................ 23 Denny v. Barber, 576 F.2d 465 (2d Cir. 1978) ................... 36 Goldman Sachs Group, Inc. v. Arkansas Teacher Retirement System, 594 U.S. 113 (2021) ...................... 33 Halliburton Co. v. Erica P. John Fund, Inc., 573 U.S. 258 (2014) ............................................................ 5 Indiana Public Retirement System v. Pluralsight, Inc., 45 F.4th 1236 (10th Cir. 2022) ..... 39 Karth v. Keryx Biopharmaceuticals, Inc., 6 F.4th 123 (1st Cir. 2021) .............................................. 39 Kolominsky v. Root, Inc., 100 F.4th 675 (6th Cir. 2024) ...................................... 6, 38 Macquarie Infrastructure Corp. v. Moab Partners, L.P., 601 U.S. 257 (2024) ....................................... 5-6, 20, 31, 37 Matrixx Initiatives, Inc. v. Siracusano, 563 U.S. 27 (2011) .................................................. 5, 20, 25 Merck Sharp & Dohme Corp. v. Albrecht, 587 U.S. 299 (2019) .......................................................... 25 Omnicare, Inc. v. Laborers District Council Construction Industries Pension Fund, 575 U.S. 175 (2015) .......................... 5, 20-22, 24-25 Rombach v. Chang, 355 F.3d 164 (2d Cir. 2004) ............................................. 38 Set Capital LLC v. Credit Suisse Group AG, 996 F.3d 64 (2d Cir. 2021) ............................................... 39 Tellabs, Inc. v. Makor Issues & Rights, Ltd., 551 U.S. 308 (2007) .................................................... 35, 37",20240809133545974_23-980_petbrief.pdf
6,"V Page Statutes and regulations: Private Securities Litigation Reform Act of 1995, Pub. L. No. 104-67, 109 Stat. 737 ............................. 29, 38 Securities Exchange Act of 1934, 15 U.S.C. 78a et seq.:  78j(b) ........................... 2-5, 9, 14-15, 19-20, 31, 34, 36, 42  78m(a)(2) ......................................................................... 6  78t(a) ................................................................................ 9  78t-1 ................................................................................. 9  78u-4(b)(1)(B) ............................................................... 29  78u-5(c)(1)(A)(i) ........................................................ 6, 38 28 U.S.C. 1254(1) .................................................................... 1 17 C.F.R.: Section 229.101(a)(1) ....................................................... 23 Section 229.101(a) .............................................................. 6 Section 229.103 ................................................................ 23 Section 229.103(a) ........................................................ 6, 23 2, 4, 7, 14-15, 17-27, Section 229.105 ................................... 31-33, 35, 37, 39, 42 Section 229.105(a) ............................................ 7, 21, 24, 32 Section 229.105(b) ................................................. 7, 32, 33 Section 229.106 ................................................................ 23 Section 229.106(b) ........................................................... 23 Section 229.303(b)(2)(ii) .............................................. 6, 23 Section 229.503(c) .............................................................. 7 Section 240.10b-5 ............................................. 9, 19, 34, 36 Section 240.10b-5(b) .................... 2-5, 14-15, 20, 29, 31, 42 Section 249.310 .................................................................. 6 Miscellaneous: American Heritage Dictionary of the English Language (3d ed. 1996) .................................................. 21 Blacks Law Dictionary (9th ed. 2009) ........................ 21, 22 Chicago Manual of Style (17th ed. 2017) ........................... 22 Costco Wholesale Corp., Form 10-K (Oct. 10, 2023) <tinyurl.com/CostcoFY2210-K> .................................. 30",20240809133545974_23-980_petbrief.pdf
7,"VI Page Miscellaneouscontinued: Facebook, Inc., Form 10-K (Jan. 28, 2016) <tinyurl.com/2015Facebook10K>................................ 36 67 Fed. Reg. 58,480 (Sept. 16, 2002) ..................................... 6 70 Fed. Reg. 44,830 (Aug. 3, 2005) ........................................ 7 81 Fed. Reg. 23,956 (Apr. 22, 2016) .................................... 32 84 Fed. Reg. 12,688 (Apr. 2, 2019) .................................... 6, 7 84 Fed. Reg. 44,375 (Aug. 23, 2019) .................................... 32 85 Fed. Reg. 63,743 (Oct. 8, 2020) ................................. 32, 33 88 Fed. Reg. 51,896 (Aug. 4, 2023) ...................................... 23 Edward Flores & Svetlana Starykh, NERA, Recent Trends in Securities Class Action Litigation: 2023 Full-Year Review (Jan. 22, 2024) .................................................................. 37 Bryan A. Garner, Modern English Usage (4th ed. 2016) .......................... 22 W. Page Keeton et al., Prosser and Keeton on Torts (5th ed. 1984) ................. 20 Restatement (Second) of Torts (1965) ............................... 21 SEC Staff, Report on Review of Disclosure Requirements in Regulation S-K (2013) ...................... 32 Emily Strauss, Is Everything Securities Fraud?, 12 U.C. Irvine L. Rev. 1331 (2022) ................................ 33 Websters Third New International Dictionary (2002) ...................................................... 21, 22 Mary Jo White, Speech to the National Association of Corporate Directors Leadership Conference: The Path Forward on Disclosure (Oct. 15, 2013) <tinyurl.com/White2013speech> ................................. 35",20240809133545974_23-980_petbrief.pdf
8,"(1) In the Supreme Court of the United States No. 23-980 FACEBOOK, INC., ET AL., PETITIONERS v. AMALGAMATED BANK, ET AL. ON WRIT OF CERTIORARI TO THE UNITED STATES COURT OF APPEALS FOR THE NINTH CIRCUIT BRIEF FOR THE PETITIONERS OPINIONS BELOW The opinion of the court of appeals (Pet. App. 1a-53a), as amended, is reported at 87 F.4th 934. The opinion s of the district court (Pet. App. 109a-127a, 128a-224a) are not reported. JURISDICTION The judgment of the court of appeals was entered on October 18, 2023. A petition for rehearing was denied on December 4, 2023 (Pet. App. 5 a). The petition for a writ of certiorari was filed on March 4, 2024, and granted as to the first question presented on June 10, 2024. The juris- diction of this Court rests on 28 U.S.C. 1254(1).",20240809133545974_23-980_petbrief.pdf
9,"2 STATUTORY AND REGULATORY PROVISIONS INVOLVED Pertinent statutory and regulatory provision s are re- produced in an appendix to this brief. See App., infra, 1a- 3a. STATEMENT Section 10(b) of the Securities Exchange Act of 1934 and Rule 10b -5(b) of the Securities and Exchange Com- mission (SEC) do not require publicly traded companies to disclose all material information in their possession. In- stead, those provisions require disclosure only when the omission of such information would render the companys affirmative statements to the market misleading. Pure omissions are thus not actionable under Section 10(b) and Rule 10b-5(b). This case involves the latest stratagem by private plaintiffs to circumvent th at familiar rule. Item 105 of SEC Regulation S-K requires publicly traded companies to include in their annual reports a section entitled Risk Factors, which discusses the material factors that make an investment in the company s securities speculative or risky. As typically worded, a disclosure in the Risk Fac- tors section states that, if some triggering event occurs, some consequenceusually harm to the businesscould or may occur. Despite the obviously forward-looking and probabilis- tic nature of such risk disclosures, private plaintiffs have increasingly brought securities actions alleging that the disclosures are misleading. The theory underlying those actions is that such a disclosure contains an implied asser- tion that the triggering event had never occurred in the past and that a previous event presents no present risk of harming the business. The question presented is whether",20240809133545974_23-980_petbrief.pdf
10,"3 that theory of securities fraud is valid under Section 10(b) and Rule 10b-5(b). Petitioners are Facebook, Inc., now known as Meta Platforms, Inc., which operates the social-media platform Facebook, and three of Metas current or former execu- tives; respondents are lead plaintiffs representing a puta- tive class of Meta investors. In 2015, it became public that a political -consulting firm called Cambridge Analytica had improperly obtained data on millions of Facebook us- ers and used the data to assist the presidential campaign of Senator Ted Cruz. Meta required that Cambridge An- alytica delete the data, and Cambridge Analytica certified that it had. But Cambridge Analytica did not delete the data. Instead, Cambridge Analy tica retained and used the data to assist Donald Trumps presidential campaign in 2016. In 2018, when Cambridge Analyticas continued use of the data became known, Metas stock price fell. Respondents filed suit against petitioners days later, alleging a number of theories of securities fraud. As is relevant here, respondents alleged that certain risk dis- closures in Metas 2016 annual 10-K filing were mislead- ing. The challenged statements disclosed that security breaches, loss of user trust in Metas products, and misuse of user data by third parties  could or may  result in harm to Metas business. Respondents contended that the statements were misleading because the statements did not disclose Cambridge Analyticas misuse of Face- book user data. The district court rejected that theory and dismissed respondents claims , but the Ninth Circuit affirmed in part and reversed in part in a split decision. The court agreed with petitioners that the statements warning of the risks from security breaches and loss of user trust were not actionable. But the court reached a different conclusion as to the statements warning of the risk of the",20240809133545974_23-980_petbrief.pdf
